text,label
woi anjing bodoh provinsi ngerusak ngebakar gereja jatim provinsi lumbung nasbung jatim provinsi hasil gembong teroris jateng lumbung nasbung jateng ngarang stereotip piliah pilih bangsat pecun,1
nitizen penasaran keluarga situ urus nya diurusin orang ngamuk ngedumel makan sibuk ngurusin urus yakan orang pnya masng syukur bahagia publis disimpen pntng tujuanya hijrah habib iya alah jala situ jalan hijrah manusia masingmasing pintu so,0
sidangahok moga sipenista agama ateknya mati wjar jasad dtrma tanah mrs surga amin moga tuhan tuju,1
jakarta barusan baca undang beda presiden mantan presiden mantan presiden aman anak menantu mantan presiden serta istri suami masuk situ vip rakyat kroscek mas ngegas,0
anak melulu nof mikir kasi anak malu laku kaya,0
bukti rakyat malaysia anti cina indonesia malu tungu gera anti cina indonesia,1
heh kontol jan sok mes rp muka memek orang tua monyet agama aje agama kontol,1
eh memek diam kepala kaya kontol muka kaya memek dasar gigolo sakit kelamin iya wakakaka,1
akibat pakai gorden kepala hambat alir oksigen otak sebab intelejensia turun drastis sampe lihat miskiner kriditan bawa motor pesona buka hati buka paha,0
e kakak nona bodoh bodoh manokwari so kota provinsi papua barat kakak bodoh piara kakak e,0
swimwear majikan colong dasar babu cepat kembali x jam maf pasung,0
